timestamp,git_sha,run_num,n_gpus,batch_per_gpu,amp_dtype,ddp_find_unused,n_loaders,step_med,step_p90,step_mean,step_std,cpu_prep_med,compute_med,cpu_prep_frac,samples_per_s,peak_mem_gb_max_rank,scaler_skips,n_steps_counted
2026-05-11T09:45:14,7eb558d61698,bench_1778510508,4,1,fp16,true,1,0.638687,0.642761,0.638850,0.004764,0.002738,0.635720,0.0043,6.263,34.959,0,80
2026-05-11T10:23:46,728800cc7926,bench_1778512911,4,1,fp16,true,1,0.638340,0.641327,0.638295,0.002384,0.002686,0.635534,0.0042,6.266,34.959,0,80
2026-05-11T11:08:54,e88847be330d,bench_1778515261,4,3,bf16,false,1,3.314268,3.394927,3.325127,0.045130,0.010790,3.304096,0.0033,3.621,97.016,0,80
2026-05-11T11:21:32,766e0e671302,bench_1778516396,4,1,bf16,false,1,0.606586,0.610657,0.606588,0.003267,0.003718,0.602938,0.0061,6.594,34.958,0,80
